model,kfold,data,Recall,NDCG
fm,0,douban,0.7556736008303374,0.9295262352254685
fm_bpr,0,douban,0.0025808993570944315,0.9358412469950432
mf_bpr,0,douban,0.005318224961289552,0.9384689818828046
fm,1,douban,0.7564069223463589,0.9299273364284882
fm_bpr,1,douban,0.003211590070070246,0.9359520136283273
mf_bpr,1,douban,0.004948690207379312,0.9387626925752582
fm,2,douban,0.760663170277578,0.9306806080654876
fm_bpr,2,douban,0.0023752510386373113,0.9369726190826367
mf_bpr,2,douban,0.0054407306253911,0.9393004038409795
fm,3,douban,0.7581273068872827,0.9300476974513566
fm_bpr,3,douban,0.002737464328577501,0.9366279300574092
mf_bpr,3,douban,0.006061522035690008,0.9391451828944983
fm,4,douban,0.7548858690916588,0.9298479754195946
fm_bpr,4,douban,0.0025270655244744363,0.9360485546434197
mf_bpr,4,douban,0.00607696015461029,0.9381238528370036
fm,0,movie_lens,0.6517270843569573,0.8517379444896348
fm_bpr,0,movie_lens,0.0,0.8673329477593108
mf_bpr,0,movie_lens,0.00039766702014846237,0.8965249767998765
fm,1,movie_lens,0.6422569205868612,0.8554618085898629
fm_bpr,1,movie_lens,0.0,0.8678221340738893
mf_bpr,1,movie_lens,8.846426043878272e-05,0.8952705549187425
fm,2,movie_lens,0.6586915462879464,0.8567635497227853
fm_bpr,2,movie_lens,0.0,0.8691896237513382
mf_bpr,2,movie_lens,0.0,0.8947163615556728
fm,3,movie_lens,0.6518484982841511,0.8568381544692351
fm_bpr,3,movie_lens,0.0,0.8686972506806105
mf_bpr,3,movie_lens,0.0,0.8943478642062206
fm,4,movie_lens,0.6493436007969567,0.8584885834818592
fm_bpr,4,movie_lens,0.0,0.8689735729441939
mf_bpr,4,movie_lens,0.0003829386119948156,0.8967546311321131
fm,0,yelp,0.7420496969496329,0.9414854820996056
fm_bpr,0,yelp,0.0,0.9445270987471189
mf_bpr,0,yelp,0.0,0.9487984199829115
fm,1,yelp,0.7419537768421584,0.9410654281098106
fm_bpr,1,yelp,0.0,0.9445553538160363
mf_bpr,1,yelp,1.7923716661887008e-05,0.9501492683132903
fm,2,yelp,0.7447734933040365,0.9417380964271728
fm_bpr,2,yelp,0.0,0.9453508366356514
mf_bpr,2,yelp,0.0,0.9495138738086704
fm,3,yelp,0.7402976910504668,0.9440118479553461
fm_bpr,3,yelp,0.0,0.9452263112615285
mf_bpr,3,yelp,4.927933894723562e-05,0.9507685716084906
fm,4,yelp,0.7394518207053556,0.9418010585268342
fm_bpr,4,yelp,0.0,0.9452193902400596
mf_bpr,4,yelp,0.0,0.949755123404187
