model,kfold,data,RMSE,Recall,NDCG
FNN,0,douban,0.7002,0.751,0.962
FNN,1,douban,0.6954,0.7597,0.9619
FNN,2,douban,0.6929,0.7606,0.9624
FNN,3,douban,0.6958,0.7555,0.9621
FNN,4,douban,0.6915,0.7549,0.9625
IPNN,0,douban,0.6952,0.7497,0.9624
IPNN,1,douban,0.6945,0.7613,0.9621
IPNN,2,douban,0.6927,0.7575,0.9626
IPNN,3,douban,0.6957,0.7474,0.9621
IPNN,4,douban,0.6905,0.7524,0.9629
OPNN,0,douban,0.6958,0.7584,0.9621
OPNN,1,douban,0.6939,0.7552,0.9622
OPNN,2,douban,0.6962,0.7474,0.9623
OPNN,3,douban,0.6923,0.761,0.9623
OPNN,4,douban,0.6924,0.7595,0.9628
CCPM,0,douban,0.7032,0.7586,0.9616
CCPM,1,douban,0.7007,0.764,0.9621
CCPM,2,douban,0.6973,0.7484,0.9618
CCPM,3,douban,0.6972,0.7529,0.9618
CCPM,4,douban,0.6977,0.7394,0.9622
WD,0,douban,0.6984,0.7636,0.9616
WD,1,douban,0.6948,0.759,0.9625
WD,2,douban,0.6935,0.7569,0.9624
WD,3,douban,0.6917,0.7625,0.9622
WD,4,douban,0.6915,0.7588,0.9626
DC,0,douban,0.6966,0.7589,0.9619
DC,1,douban,0.6958,0.7592,0.9622
DC,2,douban,0.695,0.7556,0.9622
DC,3,douban,0.6975,0.7499,0.9614
DC,4,douban,0.6944,0.7463,0.9618
NFM,0,douban,0.7021,0.7572,0.9617
NFM,1,douban,0.6976,0.7532,0.9619
NFM,2,douban,0.6961,0.7588,0.9616
NFM,3,douban,0.6953,0.7526,0.962
NFM,4,douban,0.6931,0.7624,0.9622
deepFM,0,douban,0.6991,0.7643,0.9618
deepFM,1,douban,0.6959,0.7549,0.9622
deepFM,2,douban,0.6945,0.7609,0.9617
deepFM,3,douban,0.6943,0.7598,0.9623
deepFM,4,douban,0.692,0.7545,0.9626
AFM,0,douban,0.7,0.7582,0.9624
AFM,1,douban,0.6985,0.7612,0.9623
AFM,2,douban,0.6961,0.7647,0.9624
AFM,3,douban,0.6975,0.7488,0.9622
AFM,4,douban,0.6948,0.7559,0.9626
xDeepFM,0,douban,0.6958,0.7503,0.9623
xDeepFM,1,douban,0.6936,0.755,0.9623
xDeepFM,2,douban,0.691,0.7569,0.9621
xDeepFM,3,douban,0.6919,0.7587,0.9625
xDeepFM,4,douban,0.6926,0.7522,0.9625
FNN,0,movie_lens,0.9349,0.5586,0.916
FNN,1,movie_lens,0.9316,0.5458,0.9145
FNN,2,movie_lens,0.927,0.5489,0.9167
